Tune/Set,Artist,TuneType
Gatehouse Maid,Altan,Reels
The King of Meenasillagh/Lamey’s/The High Fiddle Reel,Altan,Reels
The Dispute at the Crossroads/Columba Wards/Siun’s,Altan,Reels
John Doherty’s Reels 1 & 3/Runaway Sunday,Altan,Reels
The Flood on the Holm/Scots Mary/The Dancer’s Denial,Altan,Reels
The Windmill,Altan,Reels
The Humours of Andytown/Kylebrack Rambler/The Gladstone,Altan,Reels
Mazurka,Altan,Mazurkas
Pretty Peg/New Ships a Sailing/The Bird’s Nest/Man From Bundoran,Altan,Reels
Drowsy Maggie/Rakish Paddy/Harvest Storm,Altan,Reels
Yellow Tinker/Lady Montgomery/Merry Harriers,Altan,Reels
Brenda Stubbert’s/Breen’s/Red Box,Altan,Highland/Reels
Jimmy Lyon’s/The Teelin/The Red Crow/The Broken Bridge,Altan,Highland/Reels
The Emyvale/Gan Aimn/The Merry Sisters of Fate,Altan,Reels
An Peata sa Chistineach/An Fathach Eireannach,Altan,Jigs
The Highland Man/The Cliffs of Glencolmcille/Cuffe Street,Altan,Highland/Reels
An tSeanchailleach Gallda/Dermot Byrnes,Altan,Jigs
John Stewart’s/James Byrne’s/Pretty Peg/Miss Patterson’s Slippers,Paddy Glackin,Reels
Rakish Paddy,Paddy Glackin,Reels
The Stage Hornpipe,Paddy Glackin,Hornpipes
Sporting Paddy/John Doherty’s/McFarley’s,Paddy Glackin,Reels
Moving Bog/Jenny Picking Cockles/The Hornless Cow,Paddy Glackin,Reels
The Fairy Jig/Frainc a’ Phoil,Paddy Glackin,Jigs
Mooncoin Jig,Paddy Glackin,Jigs
Queen of May,Paddy Glackin,Reels
Old Peter Street/John McGinley’s/Hand me Down the Tackle,Paddy Glackin,Reels
McFadden’s Reel,Paddy Glackin,Reels
King of the Pipers/Arthur Darley’s,Paddy Glackin,Jigs
Miss Patterson’s Slipper (Master Crowley’s),Paddy Glackin,Reels
The Graf Spey,Bobby Casey,Reels
Galway Reel/Paddy Fahy in C,Brendan McGlinchey,Reels
Acrobat Hornpipe,Brendan McGlinchey,Hornpipes
Splendid Isolation/Mrs. Lawrie’s,Brendan McGlinchey,Reels
Farewell To London,Brendan McGlinchey,Reels
Jig in G,Brendan McGlinchey,Jigs
The Knocknagow Jig,Brendan McGlinchey,Jigs
Grant’s,Brendan Mulvihill,Reels
Derek McGinley Highland,Cairdeas na bhFidileiri,Highlands
Derek McGinley Jig,Cairdeas na bhFidileiri,Jigs
Eiri na Greine (Derek McGinley Reel in A),Cairdeas na bhFidileiri,Reels
Con Cassidy's Highland in A (Catriona Kennedy),Cairdeas na bhFidileiri,Highlands
Tara Connaghan Highland in A,Cairdeas na bhFidileiri,Highlands
Ronan Galvin Highland in G,Cairdeas na bhFidileiri,Highlands
Mick Brown Polka starting on high B,Cairdeas na bhFidileiri,Polkas
Pigeon on the Gate in A (Martin McGinley),Cairdeas na bhFidileiri,Reels
John Watter’s Polka in G (Damien McGeehan),Cairdeas na bhFidileiri,Polkas
Liz Carroll’s Reels,Cathal Hayden,Reels
Paddy O’Brien,Christy Leahy,Reels
Finbarr Dwyer,Christy Leahy,Reels
South of the Grampians,Ciaran O Maonaigh,Highlands
Con Cassidy’s 1 & 2,Ciaran O Maonaigh,Barndances
The Drummer,Ciaran O Maonaigh,Reels
Clifton Road/The Dead Rabbit,Cillian Vallely,Jigs
Willie Clancy’s/The Leitrim Thrush,Cillian Vallely,Reels
Keep it Up/Nine Pint Coggie/The Wedding Anniversary Reel,Cillian Vallely,Reels
40 Reel,Cillian Vallely,Reels
Untitled in F,Claire O’Loughlin,Reels
Con Cassidy’s (Drowsy Maggie),Con Cassidy,Reels
Doodley Doodley Dank (Con Cassidy),Con Cassidy,SlipJigs
Sailing In/Alice’s Reel,De Danann,Reels
Mike Flanagan’s Jig,De Danann,Jigs
Mulvihill’s Reel/The Dawn,De Danann,Reels
Ril an Spideal/The Twelve Pins,De Danann,Reels
Coleraine Jig/Derrane’s/John Stenson’s/Moher Reel,De Danann,Jigs/Reels
The Cottage in the Grove/Sean Ryan’s Reel,De Danann,Reels
The Miller of Dronagh,De Danann,Reels
The House of Hamill,Ed Reavey,Reels
Hughie’s Cap,Ed Reavey,Reels
In Memory of Coleman,Ed Reavey,Reels
Lad O’Beirne’s Hornpipe,Ed Reavey,Hornpipes
Lane to the Glen,Ed Reavey,Reels
Leddy from Cavan,Ed Reavey,Reels
Never was Piping So Gay,Ed Reavey,Reels
Quinn of Armagh,Ed Reavey,Hornpipes
Reilly of the White Hill,Ed Reavey,Reels
The Whistler of Rosslea,Ed Reavey,Reels
Paddy Fahy’s/Paddy Murphy’s Wife,Finbarr Dwyer,Reels
Farewell to Cailroe,Finbarr Dwyer,Reels
John Dwyer’s Jig,Finbarr Dwyer,Jigs
Finbarr Dwyer’s No.2/The Meadow,Finbarr Dwyer,Reels
C Reel Gan aimn,Francie & Mickie Byrne,Reels
The Wedding Jig,Gerry O’Connor,Jigs
The Yellow Wattle Set,Gerry O’Connor,Jigs
Donal Dubh Set,Gerry O’Connor,Highland/Reels
Stirling Tom Hornpipes,Gerry O’Connor,Hornpipes
Boy in his Pants/Big John’s,Gerry O’Connor,Jigs
Mad French (Skylark),Gerry O’Connor,Reels
The Fickle Lad,James Byrne,Jigs
Jig na Mire,James Byrne,Jigs
Mick Carr’s Barndances,James Byrne,Barndances
The Wild Irishman,James Byrne,Reels
The Devil’s Dream,James Byrne,Reels
Ril na Drithleog (Blackberry),James Byrne,Reels
Biddy from Muckross (Brass Fiddle),James Byrne,Reels
Seamus O Beirne’s Highland (Brass Fiddle),James Byrne,Highlands
The King of Meenasillagh/The Curly Haired Boy (Brass Fiddle),James Byrne,Reels
Black Mare of Fanad,John Doherty,Reels
The Blacksmith’s Fancy,John Doherty,Reels
Irish Washerwoman,John Doherty,Jigs
McFarley’s Reel,John Doherty,Reels
McSweeney’s Reel,John Doherty,Reels
The Monaghan Switch,John Doherty,Reels
Mother’s Delight,John Doherty,Reels
Stormy Weather (Miss Monaghan),John Doherty,Reels
The Cat That Kittled in Jamie’s Wig,John Doherty,Highlands
The Donegal Reel,John Doherty,Reels
The High Level Hornpipe,John Doherty,Hornpipes
The Loughside Hornpipe,John Doherty,Hornpipes
Policeman’s Holiday,John Doherty,Jigs
Stepping Stones,John Doherty,Reels
Marry When You’re Young,John Doherty,Reels
The Flogging Reel,John Doherty,Reels
Lough Isle Castle,John Doherty,Reels
The Basket of Oysters,Johnny Pickering,Jigs
Jackson’s Rum Punch,Johnny Pickering,Reels
Casey’s Fiddle/The Crosses of Annagh,Josephine Keegan,Reels
Aughnacashel/Cap and Bells,Josephine Keegan,Reels
The Curlews,Josephine Keegan,Reels
The Gates of Mullagh,Josephine Keegan,Reels
Ronnie Cooper,Josephine Keegan,Reels
Square of Crossmaglen/Coolderry Bridge,Josephine Keegan,Reels
The High Hill/O’Leary’s Ireland,Josephine Keegan,Reels
The Reelin’ Bridge/Keelaghan’s Mantra,Josephine Keegan,Reels
Eddie Kelly’s,Kathleen Collins,Reels
Rosemary Lane/The Orphan (New Century),Kathleen Collins,Reels
Sergeant Early’s Dream (Private Ass and Cart),Kathleen Collins,Reels
Connolly’s (Dowd’s) (D),Kathleen Collins,Reels
Victory Reel/London Lasses/Courting Them All,Kevin Burke & Jacky Daly,Reels
The Torrid Romance,Liz Carroll,Reels
The Diploducus,Liz Carroll,Jigs
That’s Right Too/The Leading Role,Liz Carroll,Reels
Reel Eboulement,Liz Carroll,Reels
The Chandelier,Liz Carroll,Reels
Reel Beatrice,Liz Carroll,Reels
Cup of Tea (A),Liz Carroll,Reels
Paddy Shannon’s,Liz Carroll,Reels
Johnny Harling’s,Liz Carroll,Reels
Out on the Road/Princess Nancy,Liz Carroll,Jigs
JD’s Yellow Tinker,Liz Carroll,Reels
Wing Commander Donald MacKenzie,Niall Vallely/Nomos,Reels
Morse Avenue/Hughie Shortie’s,Niall Vallely/Nomos,Reels
Fr. Francis Cameron/Carnie’s Canter/The Saratoga,Niall Vallely/Nomos,Reels
The Parker Twins/Reel Sam Cormier,Niall Vallely/Nomos,Reels
Troy’s Wedding/Peter Ostroushko’s,Niall Vallely/Nomos,Jigs
Down the Lane/Betty Gluaistean,Niall Vallely/Nomos,Jigs
Big John’s/The Constitution,Niall Vallely/Nomos,Hornpipes
Malfunction Junction,Niall Vallely/Nomos,Reels
Once in a Blue Moose,Niall Vallely/Nomos,Reels
The Singing Stream,Niall Vallely/Nomos,Reels
The Morning Thrush,Noel Hill,Reels
John Doherty’s Reel,Paddy O’Brien & James Kelly,Reels
The Western Hornpipe,Paddy O’Brien & James Kelly,Hornpipes
Jim Coleman’s/Patsy Touhey’s/Rodney Miller,Paddy O’Brien & James Kelly,Reels
John Doherty’s Jig/Kitty Come Down to Limerick,Paddy O’Brien & James Kelly,Jigs
Sarah’s Delight (F),Paddy O’Brien & James Kelly,Reels
Jigs (Track 1),Paddy Taylor,Jigs
Julia Delaney’s/Mother’s Delight,Paul O’Shaughnessy,Reels
Sam Cormier Reel (Denis Langtot’s) D&E,Pierre Schryer,Reels
Paddy Ryan’s Dream,The Northern Fiddler,Reels
Nine Pint Coggie,The Northern Fiddler,Reels
The Morning Dew,The Northern Fiddler,Reels
Mary O’ The Wisp,The Northern Fiddler,Reels
Kitty in the Lane,The Northern Fiddler,Barndances
The Hair in the Corn,The Northern Fiddler,Reels
Francie Welch’s Barndance,The Northern Fiddler,Barndances
Drowsy Maggie,The Northern Fiddler,Reels
Five Mile Chase,The Northern Fiddler,Reels
Con Cassidy’s Jig,The Northern Fiddler,Jigs
The Milestone Jig,The Northern Fiddler,Jigs
Paidin O’Rafferty,The Northern Fiddler,Jigs
Untitled in F (Paddy Ryan’s Dream),The Northern Fiddler,Reels
Return To Burton Road,Tim Collins & Brian McNamara,Jigs
Cosa Mulligan,Tommy Peoples,Reels
Gráinne’s Jig,Tommy Peoples,Jigs
Jocelyn’s Jig,Tommy Peoples,Jigs
Don’t Touch That Green Linnet,Tommy Peoples,Jigs
Joe Cassidy’s Reel,Tommy Peoples,Reels
Green Fields of Glentown,Tommy Peoples,Reels
Black Pat’s,Tommy Peoples,Reels
The Bunch of Green Rushes/Carmel Mahoney Mulhaire,Tommy Peoples,Reels
Mulqueeney’s Hornpipe,Tommy Peoples,Hornpipes
The Killy Kally Klansmen,Tommy Peoples,Reels
The Wishing Well,Tommy Peoples,Jigs
Ciaran O’Reilly,Tommy Peoples,Reels
Sport,Zoe Conway,Jigs
